,BTC_BTS,BTC_DASH,BTC_DOGE,BTC_LTC,BTC_NXT,BTC_STR,BTC_XEM,BTC_XMR,BTC_XRP,USDT_BTC,USDT_DASH,USDT_LTC,USDT_STR,USDT_XMR,USDT_XRP,BTC_ETH,USDT_ETH,BTC_SC,BTC_DCR,BTC_LSK,BTC_STEEM,BTC_ETC,ETH_ETC,USDT_ETC,BTC_ARDR,BTC_ZEC,ETH_ZEC,USDT_ZEC,BTC_ZRX,ETH_ZRX,BTC_CVC,BTC_OMG,BTC_GAS,BTC_STORJ,BTC_EOS,ETH_EOS,USDT_EOS,BTC_SNT,BTC_KNC,BTC_BAT,USDT_BAT,BTC_LOOM,USDT_DOGE,USDT_LSK,USDT_SC,USDT_ZRX,BTC_QTUM,USDT_QTUM,USDC_BTC,USDC_ETH,USDC_USDT,BTC_MANA,USDT_MANA,BTC_BNT,BTC_BCHSV,USDC_BCHSV,USDC_XRP,USDC_XMR,USDC_STR,USDC_DOGE,USDC_LTC,USDC_ZEC,BTC_FOAM,BTC_NMR,BTC_POLY,BTC_LPT,BTC_ATOM,USDC_ATOM,USDT_ATOM,USDC_DASH,USDC_EOS,USDC_ETC,USDT_BCHSV,BTC_TRX,USDC_TRX,USDT_TRX,TRX_ETH,TRX_XRP,USDT_BTT,TRX_BTT,USDT_WIN,TRX_WIN,TRX_STEEM,BTC_LINK,TRX_LINK,BTC_XTZ,USDT_XTZ,TRX_XTZ,USDT_BEAR,USDT_BULL,USDT_TRXBEAR,USDT_TRXBULL,PAX_BTC,PAX_ETH,USDT_PAX,USDT_USDJ,USDJ_BTC,USDJ_TRX,BTC_SNX,USDT_SNX,TRX_SNX,USDT_BSVBEAR,USDT_BSVBULL,BTC_MATIC,USDT_MATIC,TRX_MATIC,USDT_BCHBEAR,USDT_BCHBULL,USDT_ETHBEAR,USDT_ETHBULL,BTC_MKR,USDT_MKR,USDT_BVOL,USDT_IBVOL,DAI_BTC,DAI_ETH,USDT_DAI,BTC_NEO,USDT_NEO,TRX_NEO,BTC_SWFTC,USDT_SWFTC,TRX_SWFTC,USDT_JST,TRX_JST,USDT_BCN,USDT_STEEM,USDT_LINK,USDJ_BTT,BTC_AVA,USDT_AVA,TRX_AVA,USDT_XRPBULL,USDT_XRPBEAR,USDT_EOSBULL,USDT_EOSBEAR,USDT_LINKBULL,USDT_LINKBEAR,BTC_CHR,USDT_CHR,TRX_CHR,BNB_BTC,USDT_BNB,USDT_BUSD,TRX_BNB,BUSD_BNB,BUSD_BTC,BTC_MDT,USDT_MDT,TRX_MDT,USDT_BCHC,USDT_COMP,ETH_COMP,BTC_XFIL,USDT_XFIL,USDT_CUSDT,BTC_REN,USDT_REN,BTC_LRC,USDT_LRC,USDT_BAL,BTC_WRX,USDT_WRX,TRX_WRX,USDT_STAKE,USDT_BZRX,BTC_SXP,USDT_SXP,TRX_SXP,USDT_MTA,USDT_YFI,BTC_STPT,USDT_STPT,USDT_DEC,USDT_PLT,USDT_UMA,USDT_KTON,USDT_RING,BTC_SWAP,USDT_SWAP,USDT_TEND,BTC_EXE,USDT_EXE,USDT_TRADE,USDT_GEEQ,USDT_BAND,USDT_DOS,USDT_DIA,USDT_ZAP,USDT_PERX,USDT_TRB,USDT_DEXT,USDT_MCB,USDT_CRV,USDT_OM,USDT_OCEAN,USDT_BLY,BTC_SWINGBY,USDT_SWINGBY,TRX_SWINGBY,USDT_PRQ,USDT_DOT,BTC_DMG,USDT_DMG,TRX_DMG,USDT_RSR,USDT_WNXM,USDT_FCT2,BTC_FCT2,USDT_SUSHI,USDT_YFII,USDT_YFL,USDT_TAI,USDT_PEARL,USDT_JFI,USDT_CORN,USDT_SWRV,USDT_FSW,USDT_FUND,TRX_FUND,BTC_FUND,USDT_CREAM,USDT_SUN,USDT_HGET,BTC_HGET,USDT_AKRO,BTC_AKRO,USDT_ADEL,USDT_UNI,USDT_DHT,USDT_MEME,USDT_CVP,USDT_GHST,BTC_REPV2,USDT_REPV2,USDT_RARI,USDT_DICE,TRX_DICE,BTC_AMP,USDT_AMP,TRX_AMP,BTC_SAND,USDT_SAND,USDT_RFUEL,USDT_VALUE,USDT_POLS,BTC_AAVE,USDT_AAVE,BTC_BCHA,USDT_BCHA,BTC_BID,USDT_BID,BTC_CVT,USDT_CVT,BTC_INJ,USDT_INJ,BTC_BCH,USDT_BCH,USDC_BCH,BTC_SENSO,USDT_SENSO,USDT_KP3R,USDT_MPH,BTC_GLM,USDT_GLM,USDT_HEGIC,USDT_ZLOT,BTC_WBTC,USDT_WBTC,USDT_NU,BTC_FRONT,USDT_FRONT,USDT_API3,USDT_COVER,USDT_BADGER,BTC_FARM,USDT_FARM,BTC_DOT,USDT_GRT,TRX_SUN,USDT_XFLR,USDT_ESD,USDT_ONEINCH,USDT_REEF,USDT_BAS,USDT_BAC,USDT_LON,USDT_ROOK,USDT_TRU,USDT_CUDOS,USDT_BOND,USDT_PBTC35A,USDT_COMBO,USDT_TUSD,USDC_TUSD,USDT_ADABEAR,USDT_ADABULL,USDT_LTCBEAR,USDT_LTCBULL,USDT_XLMBEAR,USDT_XLMBULL,USDT_WETH,BTC_TRU,USDT_FTT,USDT_SRM,USDT_LPT,totalBNB,totalBTC,totalBUSD,totalDAI,totalETH,totalPAX,totalTRX,totalTUSD,totalUSDC,totalUSDJ,totalUSDT,totalXMR,totalXUSD
USDT,,,,,,,,,,60805836.36318598,162411.03411676,1766539.57070286,1214403.20715227,267759.18443573,55238655.50766409,,53229874.58472883,,,,,,,194367.09293707,,,,329405.71994750,,,,,,,,,339212.70745789,,,,16358.54193779,,4113725.67292153,8363.79986291,187772.54008666,30079.07620837,,23767.59947517,,,1017373.79797521,,4828.06097493,,,,,,,,,,,,,,,,173448.39348798,,,,171746.57959013,,,4406710.49874716,,,254958.14620900,,4133.13097426,,,,,,39633.22218393,,254839.96517110,435292.81932075,43711.98848032,117717.51418622,,,3002.46029638,872454.03094764,,,,18525.24083515,,1228.97983645,54427.99699863,,2906.78170352,,4466.63049293,83108.25323439,144262.48507836,912481.60126662,,3919.59993978,0.00000000,236.47681082,,,5662.30258361,,101030.46961433,,,4291.03390925,,885234.36746734,,18046.11288020,5010.86784726,141143.26377934,,,38734.62719987,,5728495.47816314,1522096.37823790,119877.65527944,5731.15658890,300813.51481059,25941.36070387,,21733.16206217,,,132769.70611846,464.77299793,,,,,3210.43128222,,34307.87942888,14854.29628599,,,1744.30203260,79.76587317,,4620.54330052,,30239.92890222,7634.67215196,,2112.87138431,,12140.47543387,2440.65573254,,22065.04156006,,12056.78222738,16181.22762761,,214.54451239,5330.69908419,7140.04812816,886.17542698,10097.33330200,33056.57479758,,56547.84757150,4059.08420784,,473.61463759,2695.14552503,3547.86941215,19079.21606753,1565.81204943,4630.06154368,5847.52589270,2983.15681970,318.72731123,874.07966005,31.99999952,21117.24139793,6794.80662322,3766.26427964,4426.50887662,,40677.52921398,,34578.75752082,274759.15614297,,2048.86775499,,200154.59347418,1120.90424658,47.38854087,,116611.66073127,2779.72996336,20565.25576351,293.89680252,310.96551871,1.44000078,177.21982877,22.17437527,3996.01119155,14833.80571689,,,3522.15092340,5042.73176286,728.81014310,,1896.19248909,,144.68980762,186875.55134436,631.68091607,120.85339942,17.90341577,0.00000000,,5213.52596397,1381.35490540,0.00000000,,,22100.09676520,,,9552.09011233,170.32986058,1073.29756991,172710.16737826,,120819.17218657,,2839.38741375,,9585.21514516,,127293.03493623,,29875.87317917,,470895.69363313,,,138182.40584449,1916.51041434,598.42748705,,5267.28308201,2879.91022289,1.05027450,,13.20938551,444.69960603,,13690.23945075,8857.87379625,0.00000000,34331.97374570,,1373.08637100,,79336.99366454,,264229.55819358,158.13673785,8398.69188674,10991.91212777,1711.60077502,29.21880552,429.64503647,1287.89724561,16651.27512785,3811.79712890,260.95109907,1289.64297022,715.14383192,56773.62213851,,6070.99534215,80784.16551293,2308.65684149,32998.23413892,2760.97170546,35554.78977839,65.41659938,,8567.34649349,30269.63818734,4982.24877012,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
ETH,,,,,,,,,,,,,,,,9812.32287577,39814.65281799,,,,,,1.96634002,,,,4.71031663,,,3.42652115,,,,,,45.51750137,,,,,,,,,,,,,,944.92024335,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89547091,,,,,,,,,,,,,,,,,1.37508746,,,,,,,,,,,,,,,,,,,,,,0.73826120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17406642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
SC,,,,,,,,,,,,,,,,,,54301686.13879775,,,,,,,,,,,,,,,,,,,,,,,,,,,25691107.55806809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
DCR,,,,,,,,,,,,,,,,,,,464.03503007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
LSK,,,,,,,,,,,,,,,,,,,,2737.42571705,,,,,,,,,,,,,,,,,,,,,,,,6064.48908507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
STEEM,,,,,,,,,,,,,,,,,,,,,85875.23893108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3289.51845918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26407.82009205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
ETC,,,,,,,,,,,,,,,,,,,,,,10336.78236026,345.47278962,25720.02190105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938.13111286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
ARDR,,,,,,,,,,,,,,,,,,,,,,,,,116823.65928857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
ZEC,,,,,,,,,,,,,,,,,,,,,,,,,,664.29021270,71.48576011,3770.33634398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.67590935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
ZRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20670.89285926,6855.46962343,,,,,,,,,,,,,,,,45387.28337760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
CVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41948.21710686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
OMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18458.84276821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4181.40677198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
STORJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21706.35892115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
EOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70026.42416223,19657.10042123,109099.41672491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1789.21983448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
SNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430109.03167063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
KNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10563.34905911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
BAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96769.17754292,53852.58288358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
LOOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74146.95334174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
QTUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17665.79400323,6926.92685589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
USDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6847001.31514108,1264838.85137953,1017611.46600797,,,,,20261.79430297,1698901.08433763,14745.13566146,36596.08867292,356217.48872341,56513.62953636,13451.89952385,,,,,,15451.64309923,,14264.81824183,5506.46748396,7037.13416525,,,55088.67533013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66337.14215493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15097.85865213,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
MANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19854.41015934,31823.11552107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
BNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867.72966495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
BCHSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2995.57333288,112.95576470,,,,,,,,,,,,,,,,,963.83448038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.60167062,2101.61482122,1697.14389865,1976.03635879,58.79474559,7674.29582538,4587195.47156389,0.00000000,11504922.49241464,41449.62817454,198096286.88003958,0.00000000,0.00000000
